collection,title,scielo_issn,publisher_name,current_status,subject_areas,mission
scl,Revista da Faculdade de Educação,0102-2555,['Faculdade de Educação da Universidade de São Paulo'],deceased,Human Sciences,"{'es': 'Publicar artículos y relatos de investigación inéditos en el área de la educación, así como reseñas de libros, documentos especiales y traducciones.', 'pt': 'Publicar artigos e relatos de pesquisa inéditos na área de educação e afins, bem como resenhas de livros, documentos especiais e traduções.', 'en': 'To publish original articles and research reports in education and related areas, as well as book reviews, special documents, and translations.'}"
scl,Pesquisa Odontológica Brasileira,1517-7491,['Sociedade Brasileira de Pesquisa Odontológica e Faculdade de Odontologia da Universidade de São Paulo'],deceased,Health Sciences,"{'es': 'To publish basic and applied research works, as well as articles on current themes and updated information in oral research.', 'pt': 'Publicar trabalhos de pesquisa básica e aplicada, bem como artigos de divulgação e de atualização em pesquisa odontológica.', 'en': 'To publish basic and applied research works, as well as articles on current themes and updated information in oral research.'}"
scl,Revista Brasileira de Fisiologia Vegetal,0103-3131,['Sociedade Brasileira de Fisiologia Vegetal'],deceased,Biological Sciences,"{'es': 'Publicar trabajos científicos originales en las várias áreas de la Fisiología Vegetal.', 'pt': 'Publicar trabalhos científicos originais nas várias áreas da Fisiologia Vegetal.', 'en': 'To publish original cientific articles in the various areas of the Plant Phisiology.'}"
scl,Revista de Odontologia da Universidade de São Paulo,0103-0663,['Universidade de São Paulo'],deceased,Health Sciences,"{'es': 'Publicar los trabajos de pesquisa general y aplicada, así como los artículos de divulgación y actualización', 'pt': 'Publicar trabalhos de pesquisa básica e aplicada, bem como artigos de divulgação e de atualização', 'en': 'To publish basic and applied research works, as well as articles on current themes and updated information'}"
scl,Revista da Sociedade Brasileira de Fonoaudiologia,1516-8034,['Sociedade Brasileira de Fonoaudiologia'],deceased,Health Sciences,"{'es': 'Divulgar la producción científica sobre temas relevantes de Fonoaudiología, Disturbios de la Comunicación Humana y áreas afines.', 'pt': 'Divulgar a produção científica sobre temas relevantes de Fonoaudiologia, Distúrbios da Comunicação Humana e áreas afins.', 'en': 'To divulge the scientific production regarding relevant issues of Speech- Language Pathology and Audiology, Human Communication Disorders and related areas.'}"
scl,Revista de Microbiologia,0001-3714,['Sociedade Brasileira de Microbiologia'],deceased,"Agricultural Sciences, Biological Sciences","{'es': 'Publicar trabajos de investigación originales, notas breves y, ocasionalmente, revisiones, relacionados a todos los aspectos de la microbiología.', 'pt': 'Publicar trabalhos de pesquisa originais, notas breves e, ocasionalmente, revisões, envolvendo todos os aspectos da microbiologia.', 'en': 'To publish original research papers, research notes and, occasionally, reviews, covering all aspects of Microbiology.'}"
scl,Neotropical Entomology,1519-566X,['Sociedade Entomológica do Brasil'],suspended,Biological Sciences,"{'es': 'Publicar resultados originales de estudios en las diversas especialidades de la entomología, como: Bionomía, Sistemática, Morfología, Fisiología, Comportamiento, Ecología, Control Biológico, Protección de Plantas y de la Acarología. Revisiones extensivas o artículos sobre temas actuales en la entomología son publicados en la sección Forum, por invitación.', 'pt': 'Publicar resultados originais de estudos nas diversas especialidades da entomologia, como: bionomia, sistemática, morfologia, fisiologia, comportamento, ecologia, controle biológico, proteção de plantas e da acarologia. Revisões extensivas ou artigos sobre tópicos atuais na entomologia são publicados na seção Fórum, a convite.', 'en': 'To publish results of original research on the several specialties of entomology, like: bionomics, systematics, morphology, physiology, behavior, ecology, biological control, crop protection and on acarology. Extensive reviews or articles concerning current issues in entomology presented in a thought-provoking form are published in the Forum Section, by invitation.'}"
scl,Jornal de Pneumologia,0102-3586,['Sociedade Brasileira de Pneumologia e Tisiologia'],deceased,Health Sciences,"{'es': 'Publicar trabajos referentes a la Pneumología y especialidades.', 'pt': 'Publicar trabalhos referentes à Pneumologia e especialidades.', 'en': 'To publish works concerning Pneumology and its specialities.'}"
scl,Journal of the Brazilian Society of Mechanical Sciences and Engineering,1678-5878,['Associação Brasileira de Engenharia e Ciências Mecânicas - ABCM'],suspended,"Engineering, Exact and Earth Sciences","{'es': 'Is to publish articles of permanent interest dealing with research, development and design related to science and technology in Mechanical Engineering, encompassing interfaces with other branches of engineering, as well as with Physics and Applied Mathematics.', 'pt': 'Contribuir para a promoção, desenvolvimento e divulgação da ciência e tecnologia em Engenharia Mecânica, através da publicação de artigos originais, contribuições resultantes de [esquisas, avanços e projetos técnico-científicos relacionados à Engenharia Mecânica e, incluindo com as interfaces com outros ramos da engenharia e com outras áreas como Física e Matemática Aplicada.', 'en': 'Is to publish articles of permanent interest dealing with research, development and design related to science and technology in Mechanical Engineering, encompassing interfaces with other branches of engineering, as well as with Physics and Applied Mathematics.'}"
scl,Estudos Afro-Asiáticos,0101-546X,['Universidade Cândido Mendes'],suspended,Human Sciences,"{'es': 'Publicar artículos inéditos relacionados con el estudio de las relaciones raciales en Brasil y en la diáspora africana, así como sobre las realidades nacionales y las relaciones internacionales de los países de Africa y Asia.', 'pt': 'Publicar artigos inéditos relacionados ao estudo das relações raciais no Brasil e na diáspora e às realidades nacionais e das relações internacionais dos países da África e da Ásia.', 'en': 'To divulge unpublished writings concerning the study of racial relations in Brazil and the Negro diaspora as well as national realities and international relations of African and Asian countries.'}"
scl,Entomología y Vectores,0328-0381,['Editora Gama Filho'],deceased,Biological Sciences,"{'es': 'Estudio de los vectores, ligados a la salud humana y animal, plagas de las plantas cultivadas, de interés económico, además de atender a la área de la Geografía e Climatología aplicada a la Entomología. Aspectos de historia de la Entomología, con inclusión de artículos de biografías de entomólogos ilustres.', 'pt': 'Estudo dos vetores, ligados à saúde humana e veterinária, pragas de plantas cultivadas, de interesse econômico, além de atender à área da Geografia e Climatologia aplicada à Entomologia. Aspectos da história da Entomologia, com inclusão de artigos sobre biobibliografias de entomólogos.', 'en': 'Study of vectors, related to human and animal (veterinary) diseases, insect pests of cultivated plants and/or of economic interest, including related subjects such as Geography and Climatology applied to Entomology.  Articles on history of Entomology, including biographies of distinguished entomologists are also published.'}"
scl,Journal of Epilepsy and Clinical Neurophysiology,1676-2649,['Liga Brasileira de Epilepsia (LBE)'],suspended,Health Sciences,"{'es': 'Publicar articulos cientifico-tecnológicos resultantes de pesquisas clinicas e experimentais en epileptologia, neurofisiologia y áreas afines', 'pt': 'Publicar artigos científico-tecnológicos resultantes de pesquisas clínicas e experimentais em epileptologia, neurofisiologia clínica e áreas afins.', 'en': 'To publish resultant scientific-technicnological articles of clinical and experimental researches in epileptology, neurophysiology and related areas.'}"
scl,Brazilian Journal of Veterinary Research and Animal Science,1413-9596,['Faculdade de Medicina Veterinária e Zootecnia / Universidade de São Paulo'],suspended,Agricultural Sciences,"{'es': 'Publicar artículos completos, notas previas y artículos de revisión en las áreas de medicina veterinaria, zootecnia y ciencias afines, elaborados por especialistas nacionales o extranjeros', 'pt': 'Publicar artigos completos, notas prévias e artigos de revisão nas áreas de medicina veterinária, zootecnia e ciências afins, elaborados por especialistas nacionais ou estrangeiros.', 'en': 'To publish full papers, short communications and review articles concerned with veterinary medicine, zootechny and related fields.'}"
scl,Journal of Venomous Animals and Toxins,0104-7930,"['Centro de Estudos de Venenos e Animais Peçonhentos - CEVAP, Universidade Estadual Paulista - UNESP']",deceased,"Agricultural Sciences, Biological Sciences","{'es': 'An interdisciplinary journal devoted to research on different aspects of toxins, venomous animals, and their products and derivatives', 'pt': 'Revista interdisciplinar dedicada à pesquisa de diferentes aspectos dos venenos e derivados dos animais peçonhentos', 'en': 'An interdisciplinary journal devoted to research on different aspects of toxins, venomous animals, and their products and derivatives'}"
